State,Extractable_Resource_ham,Extraction_ham,Extraction_Percentage,Category,Year
ANDAMAN AND NICOBAR ISLANDS,0,,0.0,Safe,2022
ANDHRA PRADESH,1433393.0500000003,33316.890207275,20.531794820687875,Safe,2022
ARUNACHAL PRADESH,0,,0.0,Safe,2022
ASSAM,0,,0.0,Safe,2022
BIHAR,1163971.6700000002,168786.90696599998,28.771100588728242,Safe,2022
CHANDIGARH,0,,0.0,Safe,2022
CHHATTISGARH,344339.87,10879.403159999998,45.412034336889306,Safe,2022
DADRA AND NAGAR HAVELI,2555.62,257.85,229.44764871146725,Over-Exploited,2022
DAMAN AND DIU,3346.6299999999997,0,170.69619288657546,Over-Exploited,2022
DELHI,0,,0.0,Safe,2022
GOA,5087.389999999999,479.4752785,15.489278392260081,Safe,2022
GUJARAT,2540517.7100000004,83770.12541901994,51.680149869925515,Safe,2022
HARYANA,869053.13,62432.80649999999,135.73783342797464,Over-Exploited,2022
HIMACHAL PRADESH,0,,0.0,Safe,2022
JAMMU AND KASHMIR,97360.22,19316.135255,45.21737933624225,Safe,2022
JHARKHAND,417.68999999999994,0,0.0,Safe,2022
KARNATAKA,678226.76,31133.407024289998,39.67544129341047,Safe,2022
KERALA,0,,0.0,Safe,2022
LADAKH,0,,0.0,Safe,2022
LAKSHDWEEP,0,,0.0,Safe,2022
MADHYA PRADESH,657135.21,18757.906259999996,16.132428819329284,Safe,2022
MAHARASHTRA,857032.0636251841,34858.44148610688,49.53790066951918,Safe,2022
MANIPUR,0,,0.0,Safe,2022
MEGHALAYA,0,,0.0,Safe,2022
MIZORAM,0,,0.0,Safe,2022
NAGALAND,0,,0.0,Safe,2022
ODISHA,373749.18999999994,21906.076839375,37.83981177323756,Safe,2022
PUDUCHERRY,2056.8300000000004,,0.0,Safe,2022
PUNJAB,1694728.6099999999,117551.74304999999,164.06095545882124,Over-Exploited,2022
RAJASTHAN,188488.03,19149.50976529577,79.30881870854078,Semi-Critical,2022
SIKKIM,0,,0.0,Safe,2022
TAMILNADU,146756.66,0,0.0,Safe,2022
TELANGANA,1003663.1299999999,15405.503700924999,29.186916530449817,Safe,2022
TRIPURA,0,,0.0,Safe,2022
UTTAR PRADESH,6557179.319999999,504058.5576722551,70.75696703685695,Semi-Critical,2022
UTTARAKHAND,184693.44,17116.195502199997,51.69380136078466,Safe,2022
WEST BENGAL,588982.74,32427.810923999998,36.291530376594736,Safe,2022
ANDAMAN AND NICOBAR ISLANDS,0,,0.0,Safe,2019
ANDHRA PRADESH,1313468.6400000001,30348.254861499998,22.16299126867619,Safe,2019
ARUNACHAL PRADESH,0,,0.0,Safe,2019
ASSAM,0,,0.0,Safe,2019
BIHAR,0,,0.0,Safe,2019
CHANDIGARH,0,,0.0,Safe,2019
CHHATTISGARH,12774.17,495.49188000000004,0.6398122148053454,Safe,2019
DADRA AND NAGAR HAVELI,2374.26,533.586492,47.33137904020621,Safe,2019
DAMAN AND DIU,2755.65,0,113.37796890025946,Over-Exploited,2019
DELHI,0,,0.0,Safe,2019
GOA,4777.870000000001,378.47036149999997,13.466042399646701,Safe,2019
GUJARAT,2490525.91,61799.15539367935,53.387505211700436,Safe,2019
HARYANA,862978.0499999999,61885.06300000001,134.556050411711,Over-Exploited,2019
HIMACHAL PRADESH,18866.68,,0.0,Safe,2019
JAMMU AND KASHMIR,82805.00000000001,16990.8436175,0.3811420807922226,Safe,2019
JHARKHAND,404.71,0,0.0,Safe,2019
KARNATAKA,423153.6815386727,23444.13910324323,39.44014986588967,Safe,2019
KERALA,0,,0.0,Safe,2019
LADAKH,0,,0.0,Safe,2019
LAKSHDWEEP,0,,0.0,Safe,2019
MADHYA PRADESH,645180.3399999999,18045.993422915,15.38330817705946,Safe,2019
MAHARASHTRA,855000.192780689,34225.71702867152,49.848148936663335,Safe,2019
MANIPUR,0,,0.0,Safe,2019
MEGHALAYA,0,,0.0,Safe,2019
MIZORAM,0,,0.0,Safe,2019
NAGALAND,0,,0.0,Safe,2019
ODISHA,26617.639999999996,1749.9634824999998,0.493144771662702,Safe,2019
PUDUCHERRY,2056.86,,0.0,Safe,2019
PUNJAB,2059010.6100000003,105261.4959,164.42212747995504,Over-Exploited,2019
RAJASTHAN,187089.11000000002,13525.217390670208,78.62547959098205,Semi-Critical,2019
SIKKIM,0,,0.0,Safe,2019
TAMILNADU,163903.76999999996,0,0.0,Safe,2019
TELANGANA,670950.4206270127,17096.380934495235,36.00086538170399,Safe,2019
TRIPURA,0,,0.0,Safe,2019
UTTAR PRADESH,6688244.519999997,474261.1118341925,68.82532383848913,Safe,2019
WEST BENGAL,675642.9562853879,18968.465623384607,42.553905431861985,Safe,2019
ANDAMAN AND NICOBAR ISLANDS,0,,0.0,Safe,2023
ANDHRA PRADESH,1348891.3800000001,39024.26451380001,22.583297255558115,Safe,2023
ARUNACHAL PRADESH,0,,0.0,Safe,2023
ASSAM,0,,0.0,Safe,2023
BIHAR,1231876.25,184751.36635200004,34.69125977548475,Safe,2023
CHANDIGARH,0,,0.0,Safe,2023
CHHATTISGARH,410564.70999999996,11119.03077,42.87319287622164,Safe,2023
DADRA AND NAGAR HAVELI,2555.62,257.85,229.44764871146725,Over-Exploited,2023
DAMAN AND DIU,3344.04,0,170.82839918182796,Over-Exploited,2023
DELHI,0,,0.0,Safe,2023
GOA,5532.4,485.5250622499999,14.576133323693155,Safe,2023
GUJARAT,2557850.8299999996,85123.93618030383,54.205471786640516,Safe,2023
HARYANA,935857.56,66996.43539999999,135.9564611520582,Over-Exploited,2023
HIMACHAL PRADESH,206.22,,0.0,Safe,2023
JAMMU AND KASHMIR,39327.99,7951.312999999999,34.38047558494599,Safe,2023
JHARKHAND,417.68999999999994,0,0.0,Safe,2023
KARNATAKA,658124.5899999999,31428.737031709996,41.55090907634981,Safe,2023
KERALA,0,,0.0,Safe,2023
LADAKH,0,,0.0,Safe,2023
LAKSHDWEEP,0,,0.0,Safe,2023
MADHYA PRADESH,693591.5299999999,19321.54875,16.676124923267167,Safe,2023
MAHARASHTRA,856809.9846534927,35130.28118912109,49.010046639473984,Safe,2023
MANIPUR,0,,0.0,Safe,2023
